Epoch,Error,w1,w2
349,1052155795.3572253,8905.776454902318,28070.644675361884
350,1052155798.7406365,8905.776406975148,28070.645179394523
351,1052155801.9867756,8905.776360992522,28070.645662977124
352,1052155805.1012106,8905.776316875541,28070.646126939435
353,1052155808.089288,8905.776274548507,28070.64657207749
354,1052155810.9561316,8905.776233938801,28070.646999155033
355,1052155813.7066612,8905.776194976745,28070.647408904846
356,1052155816.3455932,8905.77615759549,28070.647802029955
357,1052155818.8774589,8905.776121730898,28070.648179204858
358,1052155821.3066016,8905.776087321432,28070.648541076735
359,1052155823.6371887,8905.776054308055,28070.648888266438
360,1052155825.8732179,8905.776022634123,28070.64922136968
361,1052155828.0185255,8905.775992245295,28070.649540957977
362,1052155830.0767932,8905.775963089425,28070.649847579683
363,1052155832.0515513,8905.775935116493,28070.65014176087
364,1052155833.946189,8905.7759082785,28070.650424006308
365,1052155835.7639583,8905.775882529399,28070.65069480026
366,1052155837.507973,8905.775857825014,28070.650954607325
367,1052155839.1812307,8905.775834122953,28070.65120387329
368,1052155840.7866002,8905.775811382553,28070.651443025832
369,1052155842.3268356,8905.775789564794,28070.65167247528
370,1052155843.8045784,8905.775768632244,28070.651892615326
371,1052155845.2223676,8905.775748548987,28070.65210382366
372,1052155846.5826322,8905.775729280564,28070.65230646268
373,1052155847.887708,8905.775710793914,28070.652500880067
374,1052155849.1398332,8905.77569305732,28070.652687409405
375,1052155850.341156,8905.775676040348,28070.652866370703
376,1052155851.4937379,8905.775659713805,28070.653038071046
377,1052155852.599558,8905.775644049674,28070.653202805028
378,1052155853.6605111,8905.775629021082,28070.653360855278
379,1052155854.6784179,8905.775614602242,28070.653512492987
380,1052155855.6550272,8905.775600768417,28070.653657978324
381,1052155856.592012,8905.775587495866,28070.653797560917
382,1052155857.4909809,8905.77557476182,28070.653931480258
383,1052155858.3534758,8905.775562544432,28070.654059966106
384,1052155859.1809772,8905.775550822736,28070.654183238923
385,1052155859.9749048,8905.775539576625,28070.6543015102
386,1052155860.736621,8905.775528786799,28070.654414982884
387,1052155861.4674327,8905.775518434744,28070.654523851666
388,1052155862.1685917,8905.775508502706,28070.65462830333
389,1052155862.8413045,8905.775498973635,28070.654728517104
390,1052155863.4867221,8905.775489831187,28070.654824664918
391,1052155864.1059543,8905.775481059674,28070.654916911742
392,1052155864.7000622,8905.775472644045,28070.65500541585
393,1052155865.2700652,8905.775464569862,28070.655090329106
394,1052155865.8169433,8905.775456823272,28070.655171797196
395,1052155866.3416322,8905.775449390982,28070.65524995989
396,1052155866.8450321,8905.775442260243,28070.655324951305
397,1052155867.3280089,8905.775435418816,28070.655396900096
398,1052155867.7913907,8905.775428854964,28070.65546592974
